260988	0.00	0.00	0.00
281019	8.00	0.00	0.00
301046	8.00	0.00	0.00
321072	8.00	0.00	0.00
341114	8.00	0.00	0.00
361140	8.00	0.00	0.00
381166	8.00	0.00	0.00
401208	8.00	0.00	0.00
421234	8.00	0.00	0.00
441260	8.00	0.00	0.00
461286	8.00	0.00	0.00
481328	8.00	0.00	0.00
501354	8.00	0.00	0.00
521380	8.00	0.00	0.00
541422	8.00	0.00	0.00
561448	8.00	0.00	0.00
581474	8.00	0.00	0.00
601515	8.00	0.00	0.00
621541	8.00	0.00	0.00
641567	8.00	0.00	0.00
661609	8.00	0.00	0.00
681635	8.00	0.00	0.00
701661	8.00	0.00	0.00
721687	8.00	0.00	0.00
741728	8.00	0.00	0.00
761754	8.00	0.00	0.00
781780	8.00	0.00	0.00
801822	8.00	0.00	0.00
821848	8.00	0.00	0.00
841874	8.00	0.00	0.00
861915	8.00	0.00	0.00
881941	8.00	0.00	0.00
901967	8.00	0.00	0.00
922009	8.00	0.00	0.00
942035	8.00	0.00	0.00
962061	8.00	0.00	0.00
982087	8.00	0.00	0.00
1002129	0.00	0.00	0.00
1022155	0.00	0.00	0.00
1042180	0.00	0.00	0.00
1062221	0.00	0.00	0.00
1082246	0.00	0.00	0.00
1102271	0.00	0.00	0.00
1122312	0.00	0.00	0.00
1142337	0.00	0.00	0.00
1162362	0.00	0.00	0.00
1182387	0.00	0.00	0.00
1202427	0.00	0.00	0.00
1222451	0.00	0.00	0.00
1242476	0.00	0.00	0.00
1262517	0.00	0.00	0.00
1282542	0.00	0.00	0.00
1302567	0.00	0.00	0.00
1322608	0.00	0.00	0.00
1342633	0.00	0.00	0.00
1362658	0.00	0.00	0.00
1382683	0.00	0.00	0.00
1402724	0.00	0.00	0.00
1422749	0.00	0.00	0.00
1442774	0.00	0.00	0.00
1462815	0.00	0.00	0.00
1482840	0.00	0.00	0.00
1502865	0.00	0.00	0.00
1522905	0.00	0.00	0.00
1542930	0.00	0.00	0.00
1562955	0.00	0.00	0.00
1582980	0.00	0.00	0.00
1603021	0.00	0.00	0.00
1623046	0.00	0.00	0.00
